transaction_id,timestamp,source_account,destination_account,amount,transaction_type,location_id,latitude,longitude,case_id,fraud_type,operation_state,device_fingerprint
TXN-000001,2026-08-22T11:30:22Z,VICTIM-1001,COLL-1007,315721.63,transfer,zone_b,22.5985,88.3299,TRAIN-0001,investment_scam,collection,fp_209ce0a416
TXN-000002,2026-08-22T11:33:58Z,VICTIM-1002,COLL-1007,64302.21,transfer,zone_c,19.0538,72.8492,TRAIN-0001,investment_scam,collection,fp_777d5b2a84
TXN-000003,2026-08-22T11:36:50Z,VICTIM-1003,COLL-1007,92162.86,transfer,zone_b,22.5319,88.3236,TRAIN-0001,investment_scam,collection,fp_fd41f04bad
TXN-000004,2026-08-22T11:39:46Z,VICTIM-1004,COLL-1007,154697.4,transfer,zone_c,19.1067,72.9007,TRAIN-0001,investment_scam,collection,fp_010d10e345
TXN-000005,2026-08-22T11:44:20Z,VICTIM-1005,COLL-1007,320908.43,transfer,zone_b,22.6199,88.3518,TRAIN-0001,investment_scam,collection,fp_2f3717d519
TXN-000006,2026-08-22T11:49:02Z,VICTIM-1006,COLL-1007,302560.28,transfer,zone_c,19.1089,72.8896,TRAIN-0001,investment_scam,collection,fp_1b2a1fc9fd
TXN-000007,2026-08-22T11:49:59Z,COLL-1007,MULE1-1008,378853.81,transfer,zone_b,22.6081,88.4005,TRAIN-0001,investment_scam,distribution,fp_899e579edf
TXN-000008,2026-08-22T11:50:56Z,COLL-1007,MULE1-1009,423590.96,transfer,zone_c,19.0538,72.8913,TRAIN-0001,investment_scam,distribution,fp_899e579edf
TXN-000009,2026-08-22T11:51:53Z,COLL-1007,MULE1-1010,191940.63,transfer,zone_c,19.0423,72.8632,TRAIN-0001,investment_scam,distribution,fp_deff1f687b
TXN-000010,2026-08-22T11:52:50Z,COLL-1007,MULE1-1011,255967.41,transfer,zone_c,19.0962,72.8961,TRAIN-0001,investment_scam,distribution,fp_deff1f687b
TXN-000011,2026-08-22T11:53:31Z,MULE1-1008,MULE2-1012,378853.81,transfer,zone_b,22.576,88.3384,TRAIN-0001,investment_scam,layering,fp_386e060dd5
TXN-000012,2026-08-22T11:55:12Z,MULE1-1009,MULE2-1013,157253.15,transfer,zone_b,22.5914,88.3359,TRAIN-0001,investment_scam,layering,fp_8cbc073542
TXN-000013,2026-08-22T11:56:13Z,MULE1-1009,MULE2-1014,266337.81,transfer,zone_b,22.6069,88.3915,TRAIN-0001,investment_scam,layering,fp_8cbc073542
TXN-000014,2026-08-22T11:57:13Z,MULE1-1010,MULE2-1015,191940.63,transfer,zone_b,22.5627,88.3205,TRAIN-0001,investment_scam,layering,fp_e7ed481c70
TXN-000015,2026-08-22T11:58:23Z,MULE1-1011,MULE2-1016,105276.24,transfer,zone_b,22.6111,88.3782,TRAIN-0001,investment_scam,layering,fp_b7999b4b09
TXN-000016,2026-08-22T11:59:01Z,MULE1-1011,MULE2-1017,62313.45,transfer,zone_b,22.5491,88.3386,TRAIN-0001,investment_scam,layering,fp_2d2e949edf
TXN-000017,2026-08-22T12:00:32Z,MULE1-1011,MULE2-1018,88377.72,transfer,zone_b,22.5765,88.3886,TRAIN-0001,investment_scam,layering,fp_f7148b1c71
TXN-000018,2026-08-22T17:33:30Z,VICTIM-1019,COLL-1022,121991.9,transfer,zone_b,22.6197,88.4,TRAIN-0002,investment_scam,collection,fp_8da803d13d
TXN-000019,2026-08-22T17:33:35Z,VICTIM-1020,COLL-1022,356216.55,transfer,zone_b,22.5908,88.3676,TRAIN-0002,investment_scam,collection,fp_2f1b8f1e88
TXN-000020,2026-08-22T17:35:51Z,VICTIM-1021,COLL-1022,318384.06,transfer,zone_b,22.5338,88.3574,TRAIN-0002,investment_scam,collection,fp_7b6e9f46e5
TXN-000021,2026-08-22T17:37:15Z,COLL-1022,MULE1-1023,136121.9,transfer,zone_b,22.5734,88.3245,TRAIN-0002,investment_scam,distribution,fp_13328bb2e5
TXN-000022,2026-08-22T17:38:39Z,COLL-1022,MULE1-1024,330561.43,transfer,zone_b,22.6068,88.3647,TRAIN-0002,investment_scam,distribution,fp_7328e96359
TXN-000023,2026-08-22T17:40:03Z,COLL-1022,MULE1-1025,329909.18,transfer,zone_b,22.5379,88.3902,TRAIN-0002,investment_scam,distribution,fp_7328e96359
TXN-000024,2026-08-22T17:41:39Z,MULE1-1023,MULE2-1026,46072.07,transfer,zone_b,22.555,88.3158,TRAIN-0002,investment_scam,layering,fp_6cc909822f
TXN-000025,2026-08-22T17:42:45Z,MULE1-1023,MULE2-1027,45087.37,transfer,zone_b,22.6105,88.3971,TRAIN-0002,investment_scam,layering,fp_6cc909822f
TXN-000026,2026-08-22T17:43:44Z,MULE1-1023,MULE2-1028,44962.46,transfer,zone_b,22.5465,88.338,TRAIN-0002,investment_scam,layering,fp_0da30a28ac
TXN-000027,2026-08-22T17:44:12Z,MULE1-1024,MULE2-1029,158453.17,transfer,zone_b,22.6204,88.3672,TRAIN-0002,investment_scam,layering,fp_f52409abad
TXN-000028,2026-08-22T17:44:48Z,MULE1-1024,MULE2-1030,64133.99,transfer,zone_b,22.5354,88.3614,TRAIN-0002,investment_scam,layering,fp_f52409abad
TXN-000029,2026-08-22T17:46:18Z,MULE1-1024,MULE2-1031,107974.27,transfer,zone_b,22.5391,88.3667,TRAIN-0002,investment_scam,layering,fp_f52409abad
TXN-000030,2026-08-22T17:48:11Z,MULE1-1025,MULE2-1032,113883.78,transfer,zone_b,22.5916,88.3852,TRAIN-0002,investment_scam,layering,fp_d39cd89670
TXN-000031,2026-08-22T17:49:22Z,MULE1-1025,MULE2-1033,87811.66,transfer,zone_b,22.6221,88.3789,TRAIN-0002,investment_scam,layering,fp_d39cd89670
TXN-000032,2026-08-22T17:50:38Z,MULE1-1025,MULE2-1034,128213.74,transfer,zone_b,22.6126,88.359,TRAIN-0002,investment_scam,layering,fp_d39cd89670
TXN-000033,2026-08-22T17:51:06Z,MULE2-1026,HUB-1035,46072.07,transfer,zone_b,22.5564,88.3727,TRAIN-0002,investment_scam,consolidation,fp_54aa2d5434
TXN-000034,2026-08-22T17:52:41Z,MULE2-1027,HUB-1035,45087.37,transfer,zone_b,22.5446,88.321,TRAIN-0002,investment_scam,consolidation,fp_ae9afb3233
TXN-000035,2026-08-22T17:53:30Z,MULE2-1028,HUB-1035,44962.46,transfer,zone_b,22.5293,88.317,TRAIN-0002,investment_scam,consolidation,fp_a3eab08e55
TXN-000036,2026-08-22T17:53:59Z,MULE2-1029,HUB-1035,158453.17,transfer,zone_b,22.574,88.3417,TRAIN-0002,investment_scam,consolidation,fp_fed56ca868
TXN-000037,2026-08-22T17:54:46Z,MULE2-1030,HUB-1035,64133.99,transfer,zone_b,22.5765,88.3862,TRAIN-0002,investment_scam,consolidation,fp_a73fa70f7c
TXN-000038,2026-08-22T17:55:37Z,MULE2-1031,HUB-1035,107974.27,transfer,zone_b,22.6011,88.3946,TRAIN-0002,investment_scam,consolidation,fp_eb541585fd
TXN-000039,2026-08-22T17:56:09Z,MULE2-1032,HUB-1035,113883.78,transfer,zone_b,22.5323,88.357,TRAIN-0002,investment_scam,consolidation,fp_2a61058500
TXN-000040,2026-08-22T17:57:21Z,MULE2-1033,HUB-1035,87811.66,transfer,zone_b,22.5693,88.3868,TRAIN-0002,investment_scam,consolidation,fp_08579fe937
TXN-000041,2026-08-22T17:57:48Z,MULE2-1034,HUB-1035,128213.74,transfer,zone_b,22.5629,88.3478,TRAIN-0002,investment_scam,consolidation,fp_ab1f3cd2f9
TXN-000042,2026-08-22T17:58:31Z,HUB-1035,CASHOUT-1036,796592.51,transfer,zone_b,22.5475,88.3329,TRAIN-0002,investment_scam,cashout_prep,fp_f82baaa8b1
TXN-000043,2026-08-22T10:30:08Z,VICTIM-1037,COLL-1039,499677.11,transfer,zone_a,28.5853,77.1991,TRAIN-0003,investment_scam,collection,fp_003b2f0c1f
TXN-000044,2026-08-22T10:30:38Z,VICTIM-1038,COLL-1039,426212.41,transfer,zone_b,22.5605,88.4124,TRAIN-0003,investment_scam,collection,fp_0cc8ac22a2
TXN-000045,2026-08-22T10:32:27Z,COLL-1039,MULE1-1040,377705.8,transfer,zone_a,28.5794,77.1887,TRAIN-0003,investment_scam,distribution,fp_94d944813f
