transaction_id,timestamp,source_account,destination_account,amount,transaction_type,location_id,latitude,longitude,case_id,fraud_type,operation_state,next_event,cashout_location
TXN-001000,2026-08-22T19:30:00Z,ACC-1001,ACC-1000,250000.0,transfer,zone_a,28.6139,77.209,CF-1042,investment_scam,collection,distribution,zone_b
TXN-001001,2026-08-22T19:35:00Z,ACC-1002,ACC-1000,300000.0,transfer,zone_a,28.6139,77.209,CF-1042,investment_scam,collection,distribution,zone_b
TXN-001002,2026-08-22T19:42:00Z,ACC-1003,ACC-1000,150000.0,transfer,zone_a,28.6139,77.209,CF-1042,investment_scam,collection,distribution,zone_b
TXN-001003,2026-08-22T19:48:00Z,ACC-1004,ACC-1000,140000.0,transfer,zone_a,28.6139,77.209,CF-1042,investment_scam,collection,distribution,zone_b
TXN-001004,2026-08-22T19:50:40Z,ACC-1000,ACC-2001,300000.0,transfer,zone_a,28.6139,77.209,CF-1042,investment_scam,distribution,layering,zone_b
TXN-001005,2026-08-22T19:51:20Z,ACC-1000,ACC-2002,300000.0,transfer,zone_a,28.6139,77.209,CF-1042,investment_scam,distribution,layering,zone_b
TXN-001006,2026-08-22T19:52:00Z,ACC-1000,ACC-2003,240000.0,transfer,zone_a,28.6139,77.209,CF-1042,investment_scam,distribution,layering,zone_b
TXN-001007,2026-08-22T20:00:25Z,ACC-2001,ACC-3001,150000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,layering,consolidation,zone_b
TXN-001008,2026-08-22T20:00:50Z,ACC-2001,ACC-3002,150000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,layering,consolidation,zone_b
TXN-001009,2026-08-22T20:01:15Z,ACC-2002,ACC-3003,180000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,layering,consolidation,zone_b
TXN-001010,2026-08-22T20:01:40Z,ACC-2002,ACC-3004,120000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,layering,consolidation,zone_b
TXN-001011,2026-08-22T20:02:05Z,ACC-2003,ACC-3005,140000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,layering,consolidation,zone_b
TXN-001012,2026-08-22T20:02:30Z,ACC-2003,ACC-3006,100000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,layering,consolidation,zone_b
TXN-001013,2026-08-22T20:15:30Z,ACC-3001,ACC-9001,150000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,consolidation,cashout,zone_b
TXN-001014,2026-08-22T20:16:00Z,ACC-3002,ACC-9001,150000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,consolidation,cashout,zone_b
TXN-001015,2026-08-22T20:16:30Z,ACC-3003,ACC-9001,180000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,consolidation,cashout,zone_b
TXN-001016,2026-08-22T20:17:00Z,ACC-3004,ACC-9002,120000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,consolidation,cashout,zone_b
TXN-001017,2026-08-22T20:17:30Z,ACC-3005,ACC-9002,140000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,consolidation,cashout,zone_b
TXN-001018,2026-08-22T20:18:00Z,ACC-3006,ACC-9002,100000.0,transfer,zone_b,22.5726,88.3639,CF-1042,investment_scam,consolidation,cashout,zone_b
TXN-002000,2026-08-22T19:45:00Z,ACC-1050,ACC-2050,500000.0,transfer,zone_a,28.6139,77.209,CF-2001,digital_arrest,collection,layering,zone_a
TXN-002001,2026-08-22T19:48:30Z,ACC-2050,ACC-3051,125000.0,transfer,zone_a,28.6139,77.209,CF-2001,digital_arrest,layering,cashout,zone_a
TXN-002002,2026-08-22T19:49:00Z,ACC-2050,ACC-3052,125000.0,transfer,zone_a,28.6139,77.209,CF-2001,digital_arrest,layering,cashout,zone_a
TXN-002003,2026-08-22T19:49:30Z,ACC-2050,ACC-3053,125000.0,transfer,zone_a,28.6139,77.209,CF-2001,digital_arrest,layering,cashout,zone_a
TXN-002004,2026-08-22T19:50:00Z,ACC-2050,ACC-3054,125000.0,transfer,zone_a,28.6139,77.209,CF-2001,digital_arrest,layering,cashout,zone_a
TXN-003000,2026-08-22T18:00:00Z,ACC-1081,ACC-GATEWAY-99,250000.0,transfer,zone_c,19.076,72.8777,CF-3001,fake_payment_gateway,collection,distribution,zone_c
TXN-003001,2026-08-22T18:10:00Z,ACC-1082,ACC-GATEWAY-99,300000.0,transfer,zone_c,19.076,72.8777,CF-3001,fake_payment_gateway,collection,distribution,zone_c
TXN-003002,2026-08-22T18:20:00Z,ACC-1083,ACC-GATEWAY-99,200000.0,transfer,zone_c,19.076,72.8777,CF-3001,fake_payment_gateway,collection,distribution,zone_c
TXN-003003,2026-08-22T18:35:00Z,ACC-1084,ACC-GATEWAY-99,350000.0,transfer,zone_c,19.076,72.8777,CF-3001,fake_payment_gateway,collection,distribution,zone_c
TXN-003004,2026-08-22T18:45:00Z,ACC-1085,ACC-GATEWAY-99,150000.0,transfer,zone_c,19.076,72.8777,CF-3001,fake_payment_gateway,collection,distribution,zone_c
TXN-003005,2026-08-22T19:02:00Z,ACC-GATEWAY-99,ACC-4001,250000.0,transfer,zone_c,19.076,72.8777,CF-3001,fake_payment_gateway,distribution,further_layering,zone_c
TXN-003006,2026-08-22T19:04:00Z,ACC-GATEWAY-99,ACC-4002,250000.0,transfer,zone_c,19.076,72.8777,CF-3001,fake_payment_gateway,distribution,further_layering,zone_c
TXN-003007,2026-08-22T19:06:00Z,ACC-GATEWAY-99,ACC-4003,250000.0,transfer,zone_c,19.076,72.8777,CF-3001,fake_payment_gateway,distribution,further_layering,zone_c
TXN-003008,2026-08-22T19:08:00Z,ACC-GATEWAY-99,ACC-4004,250000.0,transfer,zone_c,19.076,72.8777,CF-3001,fake_payment_gateway,distribution,further_layering,zone_c
TXN-003009,2026-08-22T19:10:00Z,ACC-GATEWAY-99,ACC-4005,250000.0,transfer,zone_c,19.076,72.8777,CF-3001,fake_payment_gateway,distribution,further_layering,zone_c
